bootstrap_i,mae_e1_minus_b0
0,-4.513121380329225e-07
1,-2.155527286694988e-07
2,-4.0077537243597174e-07
3,-2.8413029849586914e-07
4,-2.864395867289461e-07
5,-3.470952067655825e-07
6,-3.262816743842666e-07
7,-2.0923150748130073e-07
8,-3.210080469359059e-07
9,-2.6711368856418075e-07
10,-1.3677921086269022e-07
11,-3.2936213151171095e-07
12,-3.361709308088729e-07
13,-3.0969980842690537e-07
14,-5.765507614815223e-07
15,-3.54295295029684e-07
16,-5.882097062312637e-08
17,-8.446498673381729e-08
18,-2.6929386829081976e-07
19,-2.69871125002652e-07
20,-1.7900640068347663e-07
21,-3.318968359242169e-07
22,-4.2415346275851383e-07
23,-1.4683188961830268e-07
24,-4.269632155164474e-07
25,-2.580412657247205e-07
26,-2.7078984256453074e-07
27,-2.6797583072479467e-08
28,-4.050517936750146e-07
29,-2.4335062211123734e-07
30,-1.8537810011457108e-07
31,-1.8297305724615347e-07
32,-2.4516942656095143e-07
33,-3.373627782867882e-07
34,-1.6669562737125533e-07
35,-1.0322281413584385e-07
36,-3.195666746977615e-07
37,-5.660051360105618e-07
38,-2.2544315365674757e-07
39,-3.9260801786857556e-07
40,-2.3317784484701287e-07
41,-2.730747155630167e-07
42,-3.8142164345716413e-07
43,-3.628731007935485e-07
44,-2.8795892993444677e-07
45,-1.6145318369070218e-07
46,-1.062034087661104e-07
47,-4.301653884781348e-07
48,-2.398996204349725e-07
49,-4.3879753315774483e-07
50,-2.0291154059618767e-07
51,-1.5487841209310335e-07
52,-3.1470034101842466e-07
53,-3.1108368156191474e-07
54,-2.8975108724632256e-07
55,-3.858920926502838e-07
56,-7.578244287436905e-08
57,-2.098459285942468e-07
58,-1.858160039842037e-07
59,-2.9059515360154407e-07
60,-1.4328792805810668e-07
61,-3.995561211386084e-07
62,-3.979012720819932e-07
63,-3.8480067451667974e-08
64,-1.5953084575104706e-07
65,-4.7358692754993076e-07
66,-4.015620326562261e-07
67,-3.4362853618369153e-07
68,-3.5678463733489034e-07
69,-2.9283068162530915e-07
70,-1.3987711183641519e-07
71,-2.998701025759727e-07
72,-1.6235780472503326e-07
73,-3.148933420979525e-07
74,-3.383675547001183e-07
75,-3.8930860815590204e-07
76,-4.579505935439158e-07
77,-2.0042943216897445e-07
78,-2.5865087412060145e-07
79,-1.871278668531904e-07
80,-5.377192773550147e-07
81,-6.395565705199016e-08
82,-2.67294245569075e-07
